app_id,app_name,category,description,avg_rating
1,"Adobe Express: AI Photo, Video",Art & Design,"Adobe Express is the quick and easy app to create on-brand content that helps your business stand out and make an impact. Whether you're a beginner or a seasoned creator, Adobe Express empowers you and your team to make high-quality marketing and business materials while maintaining brand consistency.

VIDEO MADE EASY
Looking for the best free video editor? Adobe Express makes video editing simple. Use customizable templates, upload clips from your gallery, trim and combine footage, add text,",4.3
2,Sketchbook,Art & Design,"From quick sketches to fully finished artwork, Sketchbook goes where your creativity takes you.
 
Sketchbook is an award-winning sketching, painting, and drawing app for anyone who loves to draw. Artists and illustrators love Sketchbook for its professional-grade feature set and highly customizable tools. Everyone loves Sketchbook for its elegant interface and natural drawing experience, free of distractions so you can focus on capturing and expressing your ideas.

•	A full complement of bru",4.0
3,Photo & Video Editor - Canva,Art & Design,"Welcome to Canva - where magic happens! Get ready to unleash your creativity with our all-in-one digital canvas. Enjoy easy-to-use photo & video editor, endless templates for resume, bio data, presentations, wedding invitation or other creative digital art ideas - right at your fingertips, and in over 12 Indian languages! Whether you're a professional designer, an aspiring artist, or simply someone looking to add a touch of creativity to your everyday life, Canva has something for everyone. Pack",4.6
4,"Picsart AI Photo Editor, Video",Art & Design,"Join the Picsart community of over 150 million creators around the world. With the Picsart AI photo editor and video editor, you can bring your creativity to life. Create with AI tools, make professional-level collages, design and add stickers, quickly remove and swap backgrounds, choose from hundreds of stylized photo filters, turn text into art with AI Image Generator, create AI avatars and more. Picsart is your go-to, all-in-one AI assisted editor with all the tools you need to give your cont",4.2
5,Arvin® - AI Logo Maker,Art & Design,"Ready to create a professional logo for your brand? Meet Arvin, your AI-powered logo maker that makes designing logos easier.

Imagine sitting at your desk, struggling to come up with a logo design idea and create a logo that captures your brand's identity. Those days are now behind you. With Arvin, your logo and icon maker buddy, you can generate quality logos quickly. No logo design experience is required.

Here's why Arvin is an efficient logo maker:
Super Easy to Use
Whether you're a b",4.5
6,PaperColor,Art & Design,"PaperColor is an excellent painting application which is imitating the paintbrush to draw and doodle, graffiti. Easy to paint, learning to paint!
We have different styles paintbrush and colour library. Help you to creating the perfect artworks.
Whether you on journey, stay alone, In the party or just want to waste time in the airplane，It is the best application that you can draw on your phone or tablet.

Exquisite drawing tools!
★Handwriting signature with pen after you have finished the wo",4.1
7,AR Drawing : Trace Anything,Art & Design,"If you are into Activities, Drawing & Coloring, this app is for you. Activities such as coloring and drawing are sometimes family-oriented games.

AR Drawing Sketch Paint: Trace, Draw, and Create! 💥 ✍️

Experience a different level of art by using the AR Drawing Sketch Paint app. This app will guide you through mastering art drawing as a whole. You can quickly turn any picture into an actual masterpiece by using a trace or AR-draw sketch.

🖊️ What Can You Do with AR Drawing Sketch Paint! 🖌",4.6
8,ImagineArt: AI Image Generator,Art & Design,"ImagineArt: Your All-in-One AI Art Design Studio

Discover the easiest way to create stunning visuals like images, logos, posters, flyers, stickers, and more with the power of Generative AI! Whether it’s for business, personal use, or just for fun, ImagineArt empowers everyone to design anything from anywhere. 

IMAGINE IT. TYPE IT. GENERATE IT.
Bring your creative ideas to life with our AI Image Generator and AI Art Generator. Create content like logos, portraits, stickers, social media po",4.1
9,FlipaClip: Create 2D Animation,Art & Design,"Bring your drawings to life with FlipaClip app — the ultimate 2D animation maker and cartoon drawing app loved by millions!  FlipaClip lets you draw, animate, and create short animated movies and flipbooks.

Discover why millions of influencers and creators love this animation maker — it’s the easiest way to bring drawings, cartoons, anime, and stories to life. Whether you want to learn how to draw anime, draw animation, create memes, stick animations, or start your next cartoon series. Turn y",4.5
10,Pratilipi - Read Stories,Books and references,"Welcome to Pratilipi, India's largest digital storytelling platform and ultimate free story app. Discover 6+ million free stories, novels, romantic books, and Hindi kahaniyan by talented Indian writers. Pratilipi app connects millions of readers and writers across Hindi, Tamil, Bengali, Telugu, Marathi, and regional languages. Whether you love romantic novels, CEO romance, horror kahaniyan, suspense thrillers, fantasy adventures, or motivational books, this story reading app delivers everything ",4.8
11,Amazon Kindle - eBooks & more,Books and references,"READ ANYTIME, ANYWHERE

On the bus, on your break, in your bed—never be without a book. Built for book lovers, the Kindle app puts millions of eBooks, including textbooks and comics in English and a number of Indian languages at your fingertips.

FIND YOUR NEXT GREAT READ

-Find your next great read with Kindle. Choose from over seven million Kindle eBooks, comics and more and start reading in seconds. Explore notable new releases, Amazon best reads, best sellers and titles across genres l",4.6
12,Audible: Audio Entertainment,Books and references,"Escape into stories you love with Audible. Discover a world of audiobooks, exclusive podcasts, and Audible Originals—where powerful storytelling meets immersive sound. Download audiobooks & podcasts to listen offline, so you are never without a great story. 

Discover thousands of titles across every genre: mystery, self-development, romance, sci-fi, fantasy, and more. Personalize your experience with features like adjustable narration speed, sleep timer, and bookmarks & notes. Everything you ",4.4
13,Storytel: Audiobooks & Ebooks,Books and references,"Welcome to a wide world of wonderful audiobooks, ebooks, and things that aren’t books but are still pretty great.

Storytel is home to beloved stories and exclusive Storytel Originals.

Whether you listen or read, you’ll find the right story for any moment.

• Explore a massive library of audiobooks and other stories in English as well as Marathi, Tamil, Malayalam, Hindi, Bengali, Kannada, Gujarati, Assamese and Telugu
• Jump freely from story to story until you find one you love
• Build",4.3
14,Tapon,Books and references,"𝗧𝗮𝗽𝗼𝗻 — 𝗬𝗼𝘂𝗿 𝗨𝗹𝘁𝗶𝗺𝗮𝘁𝗲 𝗢𝗻𝗹𝗶𝗻𝗲 𝗡𝗼𝘃𝗲𝗹 𝗟𝗶𝗯𝗿𝗮𝗿𝘆 & 𝗥𝗲𝗮𝗱𝗶𝗻𝗴 𝗔𝗽𝗽!

🔥 Join millions of readers who choose Tapon as their go-to online novel library! Whether you love romance, fantasy, werewolves, billionaires, or vampires, Tapon delivers the best online novels — fresh stories updated daily to satisfy every taste.

>>📚 Massive Online Novel Library 
• Fresh Stories Added Daily
New online novels added every day — always something fresh to binge and explore!
• Diverse Genres for Every Reader
From con",4.6
15,Goodreads: Book Reviews,Books and references,"Find and share books you love on Goodreads, the world's largest site for readers and book recommendations. More than 75 million members have added more than 2.2 billion books to their shelves. 

Goodreads is a free service. 

FIND BOOKS
• Scan book covers to instantly read reviews and save it on your Want to Read shelf. 
• Get personalized recommendations based on your tastes. 
• Browse featured books and genres to discover more books you'll love. 
• See what your friends are reading. 
",3.9
